Script Code,Script Name,Alternate Names
adlm,Adlam,
afak,Afaka,
aghb,Caucasian Albanian,
ahom,Ahom,"Ahom, Tai Ahom; Tai Ahom"
arab,Arabic,
aran,Nastaliq,Arabic (Nastaliq variant)
armi,Imperial Aramaic,
armn,Armenian,
avst,Avestan,
bali,Balinese,
bamu,Bamum,
bass,Bassa Vah,
batk,Batak,
beng,Bengali,Bengali (Bangla); Bangla
berf,Beria Erfe,
bhks,Bhaiksuki,
blis,Blissymbols,
bopo,Bopomofo,
brah,Brahmi,
brai,Braille,
bugi,Buginese,
buhd,Buhid,
cakm,Chakma,
cans,Unified Canadian Aboriginal Syllabics,Aboriginal Syllabics
cari,Carian,
cham,Cham,
cher,Cherokee,
chis,Chisoi,
chrs,Chorasmian,
cirt,Cirth,
copt,Coptic,
cpmn,Cypro-Minoan,
cprt,Cypriot Syllabary,Cypriot
cyrl,Cyrillic,Cryllic; Kyrillic
cyrs,Old Church Slavonic Cyrillic,Cyrillic (Old Church Slavonic variant)
deva,Devanagari,Nagari; Devanagari (Nagari)
diak,Dives Akuru,
dogr,Dogra,
dsrt,Deseret,Deseret (Mormon); Mormon
dupl,Duployan,"Duployan shorthand, Duployan stenography; Duployan shorthand; Duployan stenography"
egyd,Demotic Egyptian,Demotic; Egyptian demotic
egyh,Hieratic Egyptian,Hieratic; Egyptian hieratic
egyp,Egyptian Hieroglyphs,Hieroglyph
elba,Elbasan,
elym,Elymaic,
ethi,Ethiopic,Ethiopic (Geʻez); Geʻez; Ge‘ez
gara,Garay,
geok,Khutsuri,Khutsuri (Asomtavruli and Nuskhuri); Asomtavruli; Nuskhuri
geor,Georgian,Georgian (Mkhedruli and Mtavruli); Mkhedruli; Mtavruli
glag,Glagolitic,
gong,Gunjala Gondi,
gonm,Masaram Gondi,
goth,Gothic,Blackletter; Schwabacher
gran,Grantha,
grek,Greek,
gujr,Gujarati,
gukh,Gurung Khema,Gurung_Khema
guru,Gurmukhi,
